1,0,                     is so sad for my APL friend.............
2,0,                   I missed the New Moon trailer...
3,1,              omg its already 7:30 :O
5,1,              omg sadsa its already 7:30 :O
6,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
7,0,         i think mi bf is cheating on me!!!       T_T
8,0,         or i just worry too much?     
9,1,              omg ssdssdsdssadsa its already 7:30 :O
10,1,              omg taichi omg
10,1,              taichi
1,0,                     is so sad for my APL friend.............
2,0,                   I missed the New Moon trailer...
3,1,              omg its already 7:30 :O
5,1,              omg sadsa its already 7:30 :O
6,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
7,0,         i think mi bf is cheating on me!!!       T_T
8,0,         or i just worry too much?     
9,1,              omg ssdssdsdssadsa its already 7:30 :O
10,1,              omg taichi omg
10,1,              taichi
